번호,도서명,분야,저자,역자,출판사,출간일,ISBN,페이지,정가,추천경로
1,"나는 풍요로웠고, 지구는 달라졌다",과학/공학,호프 자런,김은령,김영사,2020-09-04,9788934990307,276,15500,교육청 > 경남교육청 > 2021년 2월 행복한 책읽기
2,소원을 파는 가게,청소년,스테퍼니 S. 톨란,오승민,라임,2020-07-17,9791189208509,152,9800,교육청 > 경남교육청 > 2021년 2월 행복한 책읽기
3,"명견만리 (정치,생애,직업,탐구 편,지금까지 경험하지 못한 새로운 사회를 말하다)",경영/경제,KBS 명견만리 제작팀,,인플루엔셜,2017-06-05,9791186560433,304,15800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
4,스티브잡스를 꿈꿔봐,아동,임원기,,탐,2011-03-24,9788964960271,0,0,교육청 > 경남교육청 > 진로와 관련된 책
5,"우리들의 커튼콜 (연극 알기, 보기, 느끼기, 만들기)",예술/대중문화,따돌림사회연구모임 연극팀,,마리북스,2020-10-12,9791189943509,242,14000,교육청 > 경남교육청 > 2021년 2월 행복한 책읽기
6,우리말을 알려 드립니다 (남다른 말하기 글쓰기를 위한 우리말 부려쓰기),청소년,유영진,,키다리,2020-10-22,9791157853403,192,12000,교육청 > 경남교육청 > 2021년 2월 행복한 책읽기
7,사람이 날아다니고 물이 거꾸로 흐르는 곳,문학,제레미 테일러,,동연 ,2009-07-14,9788985467841,0,0,교육청 > 경남교육청 > 진로와 관련된 책
8,달님과 소년,청소년,입 스팡 올센,정영은,진선아이,2020-10-27,9791190779173,28,9500,교육청 > 경남교육청 > 2021년 2월 행복한 책읽기
9,방귀 교실,청소년,신채연,,꿈터,2020-10-26,9791188240807,102,11000,교육청 > 경남교육청 > 2021년 1월 행복한 책읽기
10,나만의 북극성을 찾아라2(진로설계편),어린이,"홍기운, 김승",,미디어숲 ,2012-01-27,9788991907409,0,0,교육청 > 경남교육청 > 진로와 관련된 책
11,희망을 나누어 주는 은행가 유누스,아동,박선민,,리젬,2010-01-25,9788992826297,0,0,교육청 > 경남교육청 > 진로와 관련된 책
12,남다르게 놀아야 남다르게 자란다,기술과학,얄리샤T.드반티어,,인디북,2007-08-10,9788958560951,0,0,교육청 > 경남교육청 > 진로와 관련된 책
13,낙서는 창의력의 시작,아동,애플비 편집부,,애플비,2006-05-01,9788957914229,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
14,"리스토어 (언택트 시대, 오프라인 기업들의 8가지 진화 전략)",경영/경제,황지영,,인플루엔셜,2020-10-15,9791191056167,288,16800,교육청 > 경남교육청 > 2021년 1월 행복한 책읽기
15,창의 사고와 표현,문학,"김승종, 전형철, 한세정, 김영건",,한올출판사,2012-02-25,9788994948058,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
16,마법 수학 토크쇼,아동,노구치 데쓰노리,,살림,2008-08-06,9788952209641,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
17,노벨상을 꿈꾸는 과학자들의 비밀노트,자연과학,한국연구재단,,중앙에듀북스,2012-02-15,9788994465111,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
18,"곱창 1인분도 배달되는 세상, 모두가 행복할까?(질문하는 사회 9) (인권)",사회,오찬호,,나무를심는사람들,2020-09-10,9791190275217,200,13000,교육청 > 경남교육청 > 2021년 1월 행복한 책읽기
19,고구마,청소년,최정아|황진희,,걸음동무,2020-09-30,9791190898126,40,14000,교육청 > 경남교육청 > 2021년 1월 행복한 책읽기
20,"피곤한 10대, 제대로 자고 있는 걸까? (밤에 눈이 더 말똥말똥해지는 10대를 위한 수면의 모든 것)",건강,카타리나 쿠이크,황덕령,오유아이,2020-06-25,9791157820887,104,13000,교육청 > 경남교육청 > 2021년 1월 행복한 책읽기
21,유원 (창비청소년문학 96) (2020년 창비청소년문학상 수상작),소설,백온유,,창비,2020-06-19,9788936456962,228,12000,교육청 > 경남교육청 > 2020년 12월 행복한 책읽기
22,나 하나쯤이야,아동,이상배,,소담주니어,2013-11-15,9788956899183,0,0,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
23,대한민국 어린이라면 꼭 알아야 할 세계사 100대 사건,아동,전지은,,예림당,2010-02-18,9788930233170,0,0,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
24,마음챙김의 시,시/에세이,류시화,,수오서재,2020-09-17,9791190382267,184,13000,교육청 > 경남교육청 > 2020년 12월 행복한 책읽기
25,칭찬의 심리학,총류,와다 히데키,,케이디북스,2010-12-15,9788991197800,0,0,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
26,재운이,아동,윤동재,,창작과비평사,2002-12-20,9788936445355,0,0,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
27,글자 없는 그림책,아동,이은홍,,사계절,2000-12-10,9788971967393,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
28,소통,총류,김경옥,,재승출판,2011-11-21,9788994217147,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
29,바오밥 환상곡 (오빠가 된 소년의 한 뼘 성장기),가정/생활/요리,양준서,,봄들,2020-06-25,9791196730048,152,12000,교육청 > 경남교육청 > 2020년 12월 행복한 책읽기
30,꼬리 여덟 개 잘린 구미호가 다녀갔어,청소년,김미희,,키위북스(어린이),2020-06-25,9791185173726,40,15000,교육청 > 경남교육청 > 2020년 12월 행복한 책읽기
31,고릴라,아동,앤서니 브라운,,비룡소,1998-10-29,9788949110486,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
32,이토록 멋진 곤충,청소년,안네 스베르드루프-튀게손,조은영,단추,2020-07-24,9791189723132,136,17000,교육청 > 경남교육청 > 2020년 12월 행복한 책읽기
33,오늘은 도서관 가는 날(양장본 HardCover),청소년,조셉 코엘료,,노란돼지,2020-04-17,9791159950797,36,13000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
34,그림 도둑 준모,아동,오승희,,낮은산,2003-05-30,9788989646075,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
35,그림 형제 동화집,아동,그림 형제,,보물창고,2012-02-29,9788961702669,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
36,벼락 맞은 리코더,청소년,류미정,,잇츠북어린이,2020-06-15,9791187903383,116,12000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
37,"중학 과학 개념 65(NASA 연구원에게 배우는) (아침부터 밤까지, 내가 경험하는 모든 일이 과학 교과서가 되는 마법!)",과학/공학,케이티 메키시크,,매직사이언스,2020-05-25,9791188535187,296,15000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
38,열 문장 쓰는 법 (못 쓰는 사람에서 쓰는 사람으로),시/에세이,김정선,,유유,2020-03-04,9791189683337,160,10000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
39,세상을 담은 그림 지도,아동,김향금,,보림,2004-01-10,9788943305239,0,0,교육청 > 경남교육청 > 꿈이 있는 그림책
40,사람에 대한 예의,역사/문화,권석천,,어크로스,2020-06-05,9791190030519,324,15000,교육청 > 경남교육청 > 2020년 9월 행복한 책읽기
41,물개 할망(양장본 HardCover),인문,오미경,,모래알,2020-01-30,9791157852918,44,15000,교육청 > 경남교육청 > 2020년 8월 행복한 책읽기
